"url","date","time","likes","tweets"
"http://www.eldiario.es/agendapublica/blog/afilia-gente-partidos_6_121847815.html",2013-04-14,"20:11","72","85"
"http://www.eldiario.es/agendapublica/blog/catedra-pulpito-anatemas_6_121147891.html",2013-04-13,"20:06","22","34"
"http://www.eldiario.es/agendapublica/blog/peor-legado-Margaret-Thatcher_6_121147897.html",2013-04-12,"20:17","385","141"
"http://www.eldiario.es/agendapublica/blog/Primarias-Ciudadania-militancia_6_121147889.html",2013-04-12,"09:22","87","70"
"http://www.eldiario.es/agendapublica/blog/elecciones-primarias-favorecen-mujeres_6_120098000.html",2013-04-11,"06:00","84","67"
"http://www.eldiario.es/agendapublica/blog/Memoria-elefante_6_119748049.html",2013-04-10,"06:00","4","22"
"http://www.eldiario.es/agendapublica/blog/parte-reparte_6_119748044.html",2013-04-08,"19:57","38","66"
"http://www.eldiario.es/agendapublica/blog/antipolitica-Santiago-Segura_6_119398064.html",2013-04-07,"20:33","43","64"
"http://www.eldiario.es/agendapublica/blog/responsabilidad-irresponsable_6_118698132.html",2013-04-06,"19:58","411","118"
"http://www.eldiario.es/agendapublica/blog/crisis-grave-acoso-poder-judicial_6_118698139.html",2013-04-05,"23:02","1288","224"
"http://www.eldiario.es/agendapublica/blog/llegado-final-politica-Transicion_6_118348172.html",2013-04-04,"19:26","93","87"
"http://www.eldiario.es/agendapublica/blog/presupuesto-Espana-retorica-politica-realidad_6_117648257.html",2013-04-04,"06:00","62","53"
"http://www.eldiario.es/agendapublica/blog/PSOE-frente-beppegrillacion-politica_6_117648253.html",2013-04-03,"06:00","152","103"
"http://www.eldiario.es/agendapublica/blog/Populismo-posibilidad-estructural_6_117648261.html",2013-04-02,"20:31","46","44"
"http://www.eldiario.es/agendapublica/blog/retos-sector-exterior_6_117298284.html",2013-04-02,"08:19","7","8"
"http://www.eldiario.es/agendapublica/blog/Cultura-democratica-corrupcion_6_117298283.html",2013-04-02,"06:00","53","92"
"http://www.eldiario.es/agendapublica/blog/debilidades-Bienestar_6_115548453.html",2013-03-31,"20:10","142","160"
"http://www.eldiario.es/agendapublica/blog/segundo-hachazo-pensiones_6_115198491.html",2013-03-26,"19:18","292","157"
"http://www.eldiario.es/agendapublica/blog/ahorradores-espanoles-espejo-chipriota_6_114848528.html",2013-03-26,"08:21","7","24"
"http://www.eldiario.es/agendapublica/blog/Escraches-lobbies-pluralismo-agenda-politica_6_114498556.html",2013-03-24,"19:13","359","138"
"http://www.eldiario.es/agendapublica/blog/democracia-gratis_6_113798625.html",2013-03-23,"19:23","8","80"
"http://www.eldiario.es/agendapublica/blog/excepcion-espanola_6_113448659.html",2013-03-22,"06:00","90","72"
"http://www.eldiario.es/agendapublica/blog/perrito-Huguito-ensimismamiento-izquierda_6_113098708.html",2013-03-21,"06:00","67","186"
"http://www.eldiario.es/agendapublica/blog/Hace-PSOE-reconocido-claramente-declararse_6_111348867.html",2013-03-19,"19:41","13","76"
"http://www.eldiario.es/agendapublica/blog/Abanderados-Occidente_6_112748727.html",2013-03-19,"09:09","0","38"
